clothes_id1,clothes_id2,value
1,780,0.585416442181086
1,480,0.583534076777862
1,356,0.579033301781507
1,260,0.576831153424315
1,648,0.567974879445152
1,1210,0.565081024132678
1,3114,0.560892873151586
1,364,0.556416915331343
1,1265,0.553202947734679
1,1270,0.552826152660996
3,3450,0.463523582362144
3,736,0.462644599034328
3,65,0.448321933248046
3,95,0.438789961184881
3,141,0.433657738302069
3,762,0.433148081824209
3,788,0.428794724282182
3,719,0.421926507844645
3,708,0.418805298419307
3,784,0.415168245853018
6,733,0.56708450188664
6,95,0.529366374234267
6,32,0.528410732148776
6,293,0.506554415430783
6,457,0.502829968574051
6,608,0.493100484652436
6,780,0.487665766111383
6,50,0.485269359637826
6,648,0.482318695609647
6,786,0.47032008291392
47,296,0.696998817973792
47,593,0.630291047362903
47,356,0.619118832557584
47,110,0.610917557022765
47,480,0.595984271029293
47,1089,0.594823430691069
47,589,0.590878947868751
47,377,0.590400356434073
47,50,0.589682369598547
47,367,0.588154540263894
50,296,0.647337465479521
50,318,0.64097765449329
50,1089,0.599480891039696
50,47,0.589682369598547
50,608,0.588063294103948
50,356,0.586719544236435
50,1213,0.58631026437601
50,858,0.57602210946129
50,593,0.574253144261803
50,1221,0.567123819782403
70,1729,0.525486787309028
70,1732,0.523872635851007
70,1089,0.483021946964247
70,1676,0.467342584095533
70,1222,0.453938989359369
70,4148,0.453425192941907
70,1391,0.450745213349286
70,2006,0.435194139889244
70,2985,0.435144400573705
70,1249,0.433050190546624
101,7117,0.466252404120156
101,1235,0.449823451060241
101,2395,0.445822570060282
101,1449,0.425628265379374
101,3181,0.425628265379374
101,46974,0.425628265379374
101,556,0.425628265379374
101,2997,0.419129742307954
101,8364,0.417028828114149
101,32584,0.417028828114149
110,480,0.677896239106903
110,589,0.677058845247344
110,296,0.659897740851844
110,356,0.655358547004444
110,457,0.645609026330154
110,380,0.628066364996108
110,592,0.623690108158424
110,150,0.613949424562999
110,47,0.610917557022765
110,318,0.609274030139143
151,266,0.4204816438731
151,553,0.411376675603721
151,329,0.39167472590032
151,224,0.381385035698236
151,440,0.380442955126341
151,350,0.379393455319664
151,161,0.371359944388941
151,273,0.370371873493823
151,316,0.369494213792278
151,168,0.369274472937998
157,1445,0.569802882298189
157,2899,0.522232967867093
157,3145,0.522232967867093
157,30848,0.522232967867093
157,1601,0.522232967867093
157,429,0.49236596391733
157,1126,0.49236596391733
157,3392,0.49236596391733
157,1689,0.455842305838551
157,438,0.455842305838551
163,380,0.470530962987266
163,6,0.463139201947182
163,353,0.461593091172497
163,555,0.458028612414344
163,592,0.429772247480202
163,293,0.42693543596707
163,316,0.416125189288239
163,110,0.415773880496794
163,47,0.414687792284042
163,288,0.410661601871476
216,585,0.547619047619047
216,104,0.545591956855
216,2335,0.539949247156038
216,333,0.525279323167149
216,180,0.476190476190476
216,1020,0.46971139230102
216,1777,0.458162128992727
216,19,0.456858677904879
216,543,0.44621074825316
216,158,0.435429006857796
223,1136,0.49609618557228
223,2997,0.482905123391084
223,919,0.480493231814349
223,551,0.477902952934474
223,1639,0.475937256567868
223,2706,0.47343547618659
223,2700,0.472417334199139
223,2115,0.471782097560248
223,296,0.470103439466833
223,2918,0.46961297297834
231,344,0.690212174238984
231,165,0.606976978666884
231,380,0.597932288002358
231,592,0.592885912210067
231,153,0.592657634036383
231,367,0.588224729958071
231,588,0.5768875203561
231,364,0.575213683430058
231,208,0.574094793256591
231,377,0.557000276013598
235,21,0.481437120966614
235,357,0.45930055972194
235,300,0.45153080797077
235,551,0.446181959534252
235,223,0.44536686939157
235,348,0.436435780471984
235,440,0.425016585257988
235,592,0.41731242476584
235,1220,0.41731242476584
235,296,0.416113328873593
260,1196,0.825611079718316
260,1210,0.788993003872253
260,1198,0.709651729857148
260,2571,0.692774400241085
260,1291,0.64548252876011
260,2628,0.629478829699943
260,1270,0.617838622727141
260,780,0.61286742852862
260,858,0.601293426590177
260,2028,0.598449580568967
296,356,0.723703543864063
296,318,0.711629848211559
296,593,0.707292505136165
296,47,0.696998817973792
296,110,0.659897740851844
296,50,0.647337465479521
296,480,0.640012471479504
296,589,0.629202945907124
296,592,0.622717641264024
296,608,0.610877341819034
316,380,0.684147487689399
316,208,0.63048832499128
316,592,0.627054446528819
316,329,0.618070046200737
